#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Xylella fastidiosa subsp. multiplex","Bacteria;Proteobacteria;Gammaproteobacteria","LM10","SAMN14680501","PRJNA627683","GCA_012974145.1","Complete",2.66965,52.1,"chromosome:NZ_CP052854.1/CP052854.1",,1,2329,"2020-05-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/974/145/GCA_012974145.1_ASM1297414v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/974/145/GCF_012974145.1_ASM1297414v1"
"Xylella fastidiosa subsp. multiplex","Bacteria;Proteobacteria;Gammaproteobacteria","Oak 35874","SAMN24371051","PRJNA672949","GCA_021459905.1","Complete",2.64803,51.9741,"chromosome:NZ_CP090511.1/CP090511.1; plasmid pXF26-Oak35874:NZ_CP090512.1/CP090512.1",,2,2315,"2022-01-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/459/905/GCA_021459905.1_ASM2145990v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/459/905/GCF_021459905.1_ASM2145990v1"
"Xylella fastidiosa subsp. multiplex","Bacteria;Proteobacteria;Gammaproteobacteria","IVIA5901","SAMN09703973","PRJNA482385","GCA_004023395.2","Complete",2.55916,52,"chromosome:NZ_CP047134.1/CP047134.1",,1,2185,"2019-12-31T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/023/395/GCF_004023395.2_ASM402339v2"
"Xylella fastidiosa subsp. fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","Bakersfield-11","SAMN16582177","PRJNA672949","GCA_015476015.1","Complete",2.5928,51.6631,"chromosome:NZ_CP064332.1/CP064332.1; plasmid pXFAS01:NZ_CP064333.1/CP064333.1",,2,2227,"2020-11-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/476/015/GCA_015476015.1_ASM1547601v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/476/015/GCF_015476015.1_ASM1547601v1"
"Xylella fastidiosa subsp. fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","Bakersfield-8","SAMN16582176","PRJNA672949","GCA_015476035.1","Complete",2.59219,51.6631,"chromosome:NZ_CP064334.1/CP064334.1; plasmid pXFAS01:NZ_CP064335.1/CP064335.1",,2,2230,"2020-11-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/476/035/GCA_015476035.1_ASM1547603v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/476/035/GCF_015476035.1_ASM1547603v1"
"Xylella fastidiosa subsp. multiplex","Bacteria;Proteobacteria;Gammaproteobacteria","BB08-1","SAMN18677606","PRJNA720706","GCA_018069665.1","Complete",2.55363,51.8,"chromosome:NZ_CP072932.1/CP072932.1",,1,2173,"2021-04-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/069/665/GCA_018069665.1_ASM1806966v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/069/665/GCF_018069665.1_ASM1806966v1"
"Xylella fastidiosa subsp. fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","Stag's Leap","SAMN24371048","PRJNA672949","GCA_021459925.1","Complete",2.54328,51.8,"chromosome:NZ_CP090518.1/CP090518.1",,1,2153,"2022-01-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/459/925/GCA_021459925.1_ASM2145992v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/459/925/GCF_021459925.1_ASM2145992v1"
"Xylella fastidiosa subsp. fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","IVIA5235","SAMN09925804","PRJNA488161","GCA_003515915.2","Complete",2.57621,51.6628,"chromosome:NZ_CP047171.1/CP047171.1; plasmid pXFAS_5235:NZ_CP047172.1/CP047172.1",,2,2211,"2019-12-31T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/515/915/GCF_003515915.2_ASM351591v2"
"Xylella fastidiosa subsp. fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","Bakersfield-1","SAMN11914553","PRJNA545724","GCA_009664125.2","Complete",2.57563,51.7613,"chromosome:NZ_CP040799.1/CP040799.2; plasmid pXFAS01:NZ_CP040800.1/CP040800.2",,2,2202,"2019-11-15T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/664/125/GCF_009664125.1_ASM966412v2"
"Xylella fastidiosa subsp. fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","Bakersfield-13","SAMN16582178","PRJNA672949","GCA_015475995.1","Complete",2.57558,51.6628,"chromosome:NZ_CP064330.1/CP064330.1; plasmid pXFAS01:NZ_CP064331.1/CP064331.1",,2,2206,"2020-11-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/475/995/GCA_015475995.1_ASM1547599v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/475/995/GCF_015475995.1_ASM1547599v1"
"Xylella fastidiosa subsp. fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","Bakersfield-14","SAMN16582179","PRJNA672949","GCA_015475975.1","Complete",2.57518,51.6628,"chromosome:NZ_CP064328.1/CP064328.1; plasmid pXFAS01:NZ_CP064329.1/CP064329.1",,2,2193,"2020-11-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/475/975/GCA_015475975.1_ASM1547597v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/475/975/GCF_015475975.1_ASM1547597v1"
"Xylella fastidiosa subsp. fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","Riv13","SAMN24371049","PRJNA672949","GCA_021459945.1","Complete",2.63641,51.7774,"chromosome:NZ_CP090514.1/CP090514.1; plasmid pXF1.3-Riv13:NZ_CP090517.1/CP090517.1; plasmid pXFAS01-Riv13:NZ_CP090516.1/CP090516.1; plasmid pXF62-Riv13:NZ_CP090515.1/CP090515.1",,4,2259,"2022-01-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/459/945/GCA_021459945.1_ASM2145994v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/459/945/GCF_021459945.1_ASM2145994v1"
"Xylella fastidiosa subsp. multiplex","Bacteria;Proteobacteria;Gammaproteobacteria","Fillmore","SAMN14680500","PRJNA627683","GCA_012974105.1","Complete",2.52654,52,"chromosome:NZ_CP052855.1/CP052855.1",,1,2141,"2020-05-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/974/105/GCA_012974105.1_ASM1297410v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/974/105/GCF_012974105.1_ASM1297410v1"
"Xylella fastidiosa subsp. multiplex","Bacteria;Proteobacteria;Gammaproteobacteria","LA-Y3C","SAMN24371052","PRJNA672949","GCA_021459845.1","Complete",2.52639,51.9,"chromosome:NZ_CP090510.1/CP090510.1",,1,2120,"2022-01-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/459/845/GCA_021459845.1_ASM2145984v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/459/845/GCF_021459845.1_ASM2145984v1"
"Xylella fastidiosa subsp. fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","GV230","SAMN15783671","PRJNA656404","GCA_014249995.1","Complete",2.51499,51.7,"chromosome:NZ_CP060159.1/CP060159.1",,1,2157,"2020-08-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/249/995/GCA_014249995.1_ASM1424999v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/249/995/GCF_014249995.1_ASM1424999v1"
"Xylella fastidiosa subsp. multiplex","Bacteria;Proteobacteria;Gammaproteobacteria","Riv5","SAMN16582180","PRJNA672949","GCA_015475955.1","Complete",2.53829,51.9578,"chromosome:NZ_CP064326.1/CP064326.1; plasmid pXF-Riv5:NZ_CP064327.1/CP064327.1",,2,2134,"2020-11-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/475/955/GCA_015475955.1_ASM1547595v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/475/955/GCF_015475955.1_ASM1547595v1"
"Xylella fastidiosa subsp. multiplex","Bacteria;Proteobacteria;Gammaproteobacteria","AlmaEM3","SAMN18677605","PRJNA720706","GCA_018069645.1","Complete",2.48745,51.8,"chromosome:NZ_CP072933.1/CP072933.1",,1,2079,"2021-04-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/069/645/GCA_018069645.1_ASM1806964v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/069/645/GCF_018069645.1_ASM1806964v1"
"Xylella fastidiosa subsp. multiplex","Bacteria;Proteobacteria;Gammaproteobacteria","Red Oak 2","SAMN16582182","PRJNA672949","GCA_015475935.1","Complete",2.47645,51.9,"chromosome:NZ_CP064325.1/CP064325.1",,1,2068,"2020-11-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/475/935/GCA_015475935.1_ASM1547593v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/475/935/GCF_015475935.1_ASM1547593v1"
"Xylella fastidiosa subsp. multiplex","Bacteria;Proteobacteria;Gammaproteobacteria","Red Oak 8","SAMN24371050","PRJNA672949","GCA_021459885.1","Complete",2.47644,51.9,"chromosome:NZ_CP090513.1/CP090513.1",,1,2066,"2022-01-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/459/885/GCA_021459885.1_ASM2145988v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/459/885/GCF_021459885.1_ASM2145988v1"
"Xylella fastidiosa subsp. pauca","Bacteria;Proteobacteria;Gammaproteobacteria","De Donno","SAMN06765826","PRJNA383475","GCA_002117875.1","Complete",2.54374,51.9667,"chromosome:NZ_CP020870.1/CP020870.1; plasmid pXF-De_Donno:NZ_CP020871.1/CP020871.1",,2,2191,"2017-05-04T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/117/875/GCF_002117875.1_ASM211787v1"
"Xylella fastidiosa 9a5c","Bacteria;Proteobacteria;Gammaproteobacteria","9a5c","SAMN02603773","PRJNA271","GCA_000006725.1","Complete",2.73175,52.6433,"chromosome:NC_002488.3/AE003849.1; plasmid pXF1.3:NC_002489.3/AE003850.3; plasmid pXF51:NC_002490.1/AE003851.1",,3,2376,"2000-06-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/725/GCA_000006725.1_ASM672v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/725/GCF_000006725.1_ASM672v1"
"Xylella fastidiosa subsp. sandyi Ann-1","Bacteria;Proteobacteria;Gammaproteobacteria","Ann-1","SAMN03081476","PRJNA179546","GCA_000698805.1","Complete",2.78091,52.0717,"chromosome:NZ_CP006696.1/CP006696.1; plasmid unnamed1:NZ_CP006697.1/CP006697.1",,2,2518,"2014-06-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/698/805/GCA_000698805.1_ASM69880v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/698/805/GCF_000698805.1_ASM69880v1"
"Xylella fastidiosa subsp. sandyi","Bacteria;Proteobacteria;Gammaproteobacteria","OC8","SAMN24371056","PRJNA672949","GCA_021474225.1","Complete",2.78661,52.0717,"chromosome:NZ_CP090547.1/CP090547.1; plasmid pXF30-OC8:NZ_CP090548.1/CP090548.1",,2,2515,"2022-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/474/225/GCA_021474225.1_ASM2147422v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/474/225/GCF_021474225.1_ASM2147422v1"
"Xylella fastidiosa MUL0034","Bacteria;Proteobacteria;Gammaproteobacteria","MUL0034","SAMN03081485","PRJNA217686","GCA_000698825.1","Complete",2.66658,51.9726,"chromosome:NZ_CP006740.1/CP006740.1; plasmid unnamed2:NZ_CP006739.1/CP006739.1",,2,2357,"2014-06-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/698/825/GCA_000698825.1_ASM69882v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/698/825/GCF_000698825.1_ASM69882v1"
"Xylella fastidiosa subsp. morus","Bacteria;Proteobacteria;Gammaproteobacteria","Riv16","SAMN16582181","PRJNA672949","GCA_021398655.1","Complete",2.63823,51.8734,"chromosome:NZ_CP090316.1/CP090316.1; plasmid pXF1.3-Riv16:NZ_CP090318.1/CP090318.1; plasmid pXF-Riv16:NZ_CP090317.1/CP090317.1",,3,2304,"2022-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/398/655/GCA_021398655.1_ASM2139865v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/398/655/GCF_021398655.1_ASM2139865v1"
"Xylella fastidiosa subsp. morus","Bacteria;Proteobacteria;Gammaproteobacteria","Riv11","SAMN24371053","PRJNA672949","GCA_021459865.1","Complete",2.63663,51.8724,"chromosome:NZ_CP090508.1/CP090508.1; plasmid pXF-Riv11:NZ_CP090509.1/CP090509.1",,2,2306,"2022-01-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/459/865/GCA_021459865.1_ASM2145986v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/459/865/GCF_021459865.1_ASM2145986v1"
"Xylella fastidiosa subsp. morus","Bacteria;Proteobacteria;Gammaproteobacteria","Riv25","SAMN24371055","PRJNA672949","GCA_021459825.1","Complete",2.63081,51.8731,"chromosome:NZ_CP090504.1/CP090504.1; plasmid pXF-Riv25:NZ_CP090505.1/CP090505.1",,2,2303,"2022-01-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/459/825/GCA_021459825.1_ASM2145982v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/459/825/GCF_021459825.1_ASM2145982v1"
"Xylella fastidiosa subsp. morus","Bacteria;Proteobacteria;Gammaproteobacteria","Riv19","SAMN24371054","PRJNA672949","GCA_021459805.1","Complete",2.63064,51.8731,"chromosome:NZ_CP090506.1/CP090506.1; plasmid pXF-Riv19:NZ_CP090507.1/CP090507.1",,2,2292,"2022-01-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/459/805/GCA_021459805.1_ASM2145980v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/459/805/GCF_021459805.1_ASM2145980v1"
"Xylella fastidiosa M23","Bacteria;Proteobacteria;Gammaproteobacteria","M23","SAMN02598408","PRJNA18457","GCA_000019765.1","Complete",2.57399,51.7613,"chromosome:NC_010577.1/CP001011.1; plasmid pXFAS01:NC_010579.1/CP001012.1",,2,2200,"2008-04-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/765/GCA_000019765.1_ASM1976v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/765/GCF_000019765.1_ASM1976v1"
"Xylella fastidiosa M12","Bacteria;Proteobacteria;Gammaproteobacteria","M12","SAMN02598402","PRJNA17823","GCA_000019325.1","Complete",2.47513,51.9,"chromosome:NC_010513.1/CP000941.1",,1,2070,"2008-02-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/325/GCA_000019325.1_ASM1932v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/325/GCF_000019325.1_ASM1932v1"
"Xylella fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","ATCC 35879","SAMN02997312","PRJNA258391","GCA_000767565.1","Contig",2.52233,51.8,,"JQAP01",16,2141,"2014-10-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/767/565/GCA_000767565.1_ASM76756v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/767/565/GCF_000767565.1_ASM76756v1"
"Xylella fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","DSM 10026","SAMN05660380","PRJEB18221","GCA_900129695.1","Scaffold",2.43165,51.4,,"FQWN01",63,2078,"2016-12-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/129/695/GCA_900129695.1_IMG-taxon_2595698223_annotated_assembly","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/129/695/GCF_900129695.1_IMG-taxon_2595698223_annotated_assembly"
"Xylella fastidiosa subsp. multiplex ATCC 35871","Bacteria;Proteobacteria;Gammaproteobacteria","ATCC 35871","SAMN02441559","PRJNA183054","GCA_000428665.1","Scaffold",2.41626,51.7,,"AUAJ01",58,2010,"2013-07-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/428/665/GCA_000428665.1_ASM42866v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/428/665/GCF_000428665.1_ASM42866v1"
"Xylella fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","CoDiRO","SAMN03247589","PRJNA269016","GCA_000811965.1","Contig",2.54293,51.9667,"plasmid unnamed:NZ_CM003178.1/CM003178.1","JUJW01",12,2177,"2014-12-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/811/965/GCA_000811965.1_ASM81196v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/811/965/GCF_000811965.1_ASM81196v1"
"Xylella fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","AlmaEM3","SAMN08537149","PRJNA433735","GCA_006369915.1","Scaffold",2.47995,51.7,,"PUIY01",30,2107,"2019-06-17T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/369/915/GCF_006369915.1_ASM636991v1"
"Xylella fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","OLS0478","SAMN03862124","PRJNA257008","GCA_001549755.1","Contig",2.55541,51.919,"plasmid pXF-P1.OLS0478:NZ_CM003752.1/CM003752.1; plasmid pXF-P4.OLS0478:NZ_CM003753.1/CM003753.1","LRVI01",48,2231,"2016-02-05T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/549/755/GCF_001549755.1_XFAS005-SEQ-1-ASM-1"
"Xylella fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","WM1-1","SAMN08537137","PRJNA433735","GCA_006370215.1","Contig",2.47003,51.6,,"PUJK01",34,2131,"2019-06-17T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/370/215/GCF_006370215.1_ASM637021v1"
"Xylella fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","CO33","SAMN04100274","PRJNA296551","GCA_001417925.1","Contig",2.68193,51.7,,"LJZW01",96,2345,"2015-10-28T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/417/925/GCF_001417925.1_ASM141792v1"
"Xylella fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","CVC0251","SAMN03862120","PRJNA257008","GCA_001549765.1","Contig",2.74025,52.5118,"plasmid pXF-P1.CVC0251:NZ_CM003755.1/CM003755.1; plasmid pXF-P4.CVC0251:NZ_CM003756.1/CM003756.1; plasmid pXF-BHR.CVC0251:NZ_CM003754.1/CM003754.1; plasmid pXF-PS.CVC0251:NZ_CM003757.1/CM003757.1","LRVE01",130,2419,"2016-02-05T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/549/765/GCF_001549765.1_XFAS001-SEQ-2-ASM-1"
"Xylella fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","TemL(NS1pglA)Rec1","SAMN08537141","PRJNA433735","GCA_006370085.1","Scaffold",2.52526,51.5,,"PUJG01",124,2206,"2019-06-17T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/370/085/GCF_006370085.1_ASM637008v1"
"Xylella fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","WM1-1(GFP)Rec2","SAMN08537143","PRJNA433735","GCA_006370055.1","Scaffold",2.45248,51.5,,"PUJE01",125,2150,"2019-06-17T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/370/055/GCF_006370055.1_ASM637005v1"
"Xylella fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","WM1-1(GFP)Rec1","SAMN08537144","PRJNA433735","GCA_006370035.1","Scaffold",2.44813,51.5,,"PUJD01",105,2150,"2019-06-17T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/370/035/GCF_006370035.1_ASM637003v1"
"Xylella fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","sycamore Sy-VA","SAMN02709772","PRJNA242875","GCA_000732705.1","Contig",2.47588,51.6,,"JMHP01",128,2127,"2014-07-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/732/705/GCA_000732705.1_ASM73270v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/732/705/GCF_000732705.1_ASM73270v1"
"Xylella fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","CVC0256","SAMN03862121","PRJNA257008","GCA_001549745.1","Contig",2.70214,52.5105,"plasmid pXF-P1.CVC0256:NZ_CM003749.1/CM003749.1; plasmid pXF-P4.CVC0256:NZ_CM003750.1/CM003750.1; plasmid pXF-BHR.CVC0256:NZ_CM003748.1/CM003748.1; plasmid pXF-PS.CVC0256:NZ_CM003751.1/CM003751.1","LRVF01",128,2408,"2016-02-05T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/549/745/GCF_001549745.1_XFAS002-SEQ-2-ASM-1"
"Xylella fastidiosa","Bacteria;Proteobacteria;Gammaproteobacteria","TemL(Alma)Rec1","SAMN08537151","PRJNA433735","GCA_006369895.1","Scaffold",2.52266,51.5,,"PUIW01",120,2212,"2019-06-17T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/369/895/GCF_006369895.1_ASM636989v1"
